,Term
0,ACLY
1,ACTB
2,APBB1
3,APOE
4,ASAP1
5,ATP2A2
6,ATP2B1
7,ATP6V0C
8,BDNF
9,BHLHE40
10,BTG2
11,CACNA1C
12,CACNB3
13,CACNG2
14,CADM1
15,CALR
16,CANX
17,CCK
18,CLDN1
19,CLIP1
20,CNTNAP2
21,CPEB3
22,CRKL
23,DAB2IP
24,DAO
25,DBH
26,DCC
27,DDX5
28,DERL2
29,DGKB
30,DLG2
31,DLG4
32,DMD
33,DNAJA1
34,DOCK4
35,DOT1L
36,DUSP1
37,DUSP2
38,EFNA1
39,EFNA3
40,EFNA4
41,EFNA5
42,EFNB3
43,EGR1
44,EGR2
45,EGR3
46,ELMO1
47,EPHA6
48,EPHA7
49,ERBB4
50,ERC1
51,ETV1
52,EXOC7
53,EXT1
54,FBL
55,FOS
56,FOSB
57,FOXP1
58,GABARAPL2
59,GABRA1
60,GABRB2
61,GABRG2
62,GAD1
63,GAD2
64,GADD45B
65,GALR1
66,GAST
67,GIT1
68,GRIA1
69,GRIA2
70,GRIA3
71,GRIA4
72,GRIK1
73,GRIK2
74,GRIK3
75,GRIK4
76,GRIK5
77,GRIN2B
78,GRM1
79,H2AFY
80,HACD1
81,HACD2
82,HACD4
83,HBEGF
84,HDAC1
85,HDAC3
86,HDAC7
87,HIST3H2BB
88,HOXB1
89,HS6ST3
90,HSPA5
91,ID3
92,JUN
93,JUNB
94,JUND
95,KCND2
96,KCNMA1
97,KCNN2
98,KCNQ3
99,KCNQ5
100,LRRC4C
101,MAF
102,MAML1
103,MAML2
104,MAML3
105,MEF2A
106,MEF2B
107,MEF2C
108,MEF2D
109,MMP16
110,MPP4
111,MSI2
112,MYC
113,MYL12B
114,NCOR1
115,NDST4
116,NDUFB10
117,NDUFS3
118,NDUFV1
119,NECTIN1
120,NECTIN2
121,NECTIN3
122,NEGR1
123,NLGN1
124,NLGN2
125,NLGN3
126,NMNAT1
127,NMNAT2
128,NMNAT3
129,NR4A1
130,NR4A2
131,NR4A3
132,NRXN1
133,NRXN2
134,NRXN3
135,NSF
136,NTN1
137,NTNG1
138,PBX1
139,PBX3
140,PCLO
141,PCYT1B
142,PER1
143,PER2
144,PEX5L
145,PIP5K1A
146,PLK2
147,PPP1R15A
148,PPP2R2B
149,PPP3CA
150,PRICKLE1
151,PRKCA
152,PTPRM
153,RAB4A
154,RACK1
155,RGS3
156,ROBO2
157,RRBP1
158,RUNX1T1
159,RYR3
160,SGCD
161,SGCG
162,SH2D2A
163,SIK1
164,SIN3A
165,SLC4A4
166,SLC6A1
167,SLC8A1
168,SLIT3
169,SRSF7
170,SYNJ1
171,SYT1
172,TCF3
173,TRIP6
174,UNC5A
175,UNC5C
176,UNC5D
177,YWHAE
178,YWHAG
179,ZEB2
180,ZFP36
181,ZFPM2
