feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,feat90,feat91,feat92,feat93,feat94,feat95,feat96,feat97,feat98,feat99,cluster
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999999,0.0,0.041714177,0.0,0.1812053,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031422198,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99999994,0.0,1.0000001,1.0,0.5003033,0.9909322,0.0,1.0,0.99999994,0.0,0.0,0.95599407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.99999994,0.0,0.0,0.0,0.06973685,1.0,0.0,0.99999994,1.0,0.0,0.0,0.0,0.0,1.0,0.99999994,0.0,1.0,0.0,0.75578547,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.92806625,1.0,1.0000001,0.939037,0.0,0.99999994,1.0,-1
0.7828463,0.86578333,0.85194504,0.00357793,0.86963457,0.8697883,0.3584564,0.81819654,0.8697196,0.17392263,0.22974396,0.3480711,0.74464035,0.0054219156,0.566944,0.023568152,0.78170943,0.7742295,0.7592212,0.6638916,0.8440127,0.86964357,0.17659898,0.13572119,0.8697449,0.88098705,0.06874065,0.84499073,0.7427635,0.85645646,0.7323054,0.18344548,0.86972386,0.8738854,0.86968315,0.13032666,0.8697233,0.5731205,0.1313024,0.6470472,0.8696889,0.79772896,0.5479038,0.13688171,0.8696495,0.19795053,0.30472118,0.9349571,0.9988271,0.7928959,0.42105168,0.23008503,0.8696468,0.8313757,0.99428177,0.8696829,0.08376989,0.8687466,0.13034762,0.8696853,0.81686324,0.8090741,0.79874796,0.44175708,0.29409724,0.18766314,0.7040426,0.1303367,0.8597786,0.86653686,0.86973155,0.009070077,0.13583171,0.8259068,0.13035499,0.5477409,0.8632141,0.8696436,0.8696899,0.869679,0.1934703,0.13032512,0.86968064,0.16662098,0.8697005,0.96824116,0.13056743,0.8141102,0.1687729,0.8696644,0.23102027,0.8696718,0.99756557,0.99064493,0.14487737,0.13128099,0.9920766,0.75724304,0.32344705,0.3341305,4
0.6096773,0.6743245,0.66352856,0.002788309,0.6773042,0.67739415,0.5003872,0.63723767,0.6773938,0.3566147,0.4001388,0.49230188,0.57993615,0.013445405,0.44151476,0.058435332,0.6088172,0.6029762,0.8125164,0.5170474,0.6572995,0.6773621,0.35870796,0.32687002,0.6773501,0.90732753,0.05353822,0.65800047,0.57845324,0.66701967,0.570369,0.14288937,0.6774231,0.6874841,0.6773551,0.32270604,0.677353,0.44632712,0.323455,0.503922,0.67734385,0.6212707,0.42669386,0.32773608,0.67731416,0.37534744,0.45851892,0.83884627,0.99708784,0.6175293,0.54911923,0.40041283,0.6773597,0.64753115,0.9858287,0.6773387,0.06524587,0.67664516,0.3226588,0.67734295,0.63617826,0.6301333,0.6220758,0.34405416,0.45025596,0.3673351,0.5482849,0.32265782,0.6696191,0.67489374,0.6773811,0.02249047,0.32691336,0.64321554,0.3226627,0.6477707,0.6722847,0.67727375,0.67735815,0.67735744,0.3718471,0.3226468,0.67737293,0.35094148,0.67737,0.9212378,0.32283002,0.6340567,0.35256433,0.6773046,0.17991194,0.67733264,0.9981049,0.97680086,0.33402732,0.3234408,0.9803292,0.5897552,0.47310996,0.4814081,1
0.2547533,0.2815659,0.27718127,0.001196946,0.2825721,0.283153,0.7911985,0.26606226,0.28264588,0.731696,0.74891365,0.78784263,0.24222398,0.029878868,0.1845802,0.12993139,0.25419694,0.25170594,0.9217679,0.21601003,0.2747488,0.28251064,0.7323935,0.71887404,0.28368187,0.961118,0.022389628,0.27465189,0.24158984,0.27849817,0.23822203,0.059738845,0.2828843,0.30562997,0.28296697,0.71694064,0.28311467,0.18647343,0.7168951,0.21039787,0.28294218,0.2593842,0.178402,0.7196161,0.28279406,0.73932296,0.77380544,0.6414403,0.9935945,0.2581197,0.81170785,0.74939644,0.2825356,0.27013302,0.96848035,0.28313172,0.02723511,0.28224295,0.71740794,0.28274834,0.26575416,0.263139,0.25989348,0.14367706,0.7704406,0.73541754,0.22918195,0.7171776,0.2799161,0.28182304,0.28324342,0.05001199,0.7194263,0.26899254,0.71741515,0.85274756,0.28089106,0.2829709,0.2831174,0.28277457,0.7376499,0.71712637,0.28277582,0.72871566,0.28294855,0.8248807,0.71717864,0.26486444,0.72985363,0.2827894,0.075093865,0.28281248,0.99919784,0.9484683,0.72163653,0.71722627,0.9562533,0.24630302,0.77979577,0.78332967,0
0.89572644,0.99062103,0.9747348,0.0040989686,0.9950583,0.9951607,0.26594546,0.9361726,0.9951046,0.05478251,0.11876692,0.2540766,0.8520117,0.000192496,0.6486677,0.00083334977,0.89441276,0.885861,0.7244935,0.759604,0.96566427,0.9950623,0.05784156,0.011075102,0.9950728,0.8638295,0.07865155,0.96684605,0.84983873,0.9799511,0.8378899,0.2098706,0.9950795,0.99533993,0.9950627,0.0049389005,0.9950961,0.65575933,0.0061255246,0.74034435,0.9950666,0.912749,0.62687314,0.01238429,0.9950562,0.082275406,0.2044656,0.99766475,0.9999578,0.90718406,0.33756936,0.119084224,0.9950589,0.95129716,0.999798,0.99506146,0.09584913,0.994029,0.0049223304,0.99507153,0.93464464,0.925703,0.9139118,0.50546074,0.19229944,0.07058065,0.80554974,0.004942715,0.98370284,0.9915013,0.995066,0.00032059662,0.0111786965,0.9449696,0.0049426667,0.48255885,0.9876359,0.9950274,0.99505645,0.9950572,0.07718071,0.0049352124,0.9950625,0.046492316,0.9950967,0.99887663,0.0052084923,0.9314861,0.048920155,0.9950618,0.26431847,0.995072,0.99721557,0.99966913,0.02158513,0.006085165,0.99971956,0.86642665,0.22591363,0.2381425,7
0.85955125,0.950581,0.935305,0.0039333114,0.9548362,0.9549922,0.295595,0.89831597,0.9548421,0.09302045,0.15433885,0.28418827,0.8175823,0.0018776283,0.62247306,0.008123341,0.8582562,0.8500304,0.735616,0.7289151,0.9266611,0.95480347,0.095914006,0.051039323,0.9549203,0.86930794,0.07547185,0.9278159,0.81549346,0.94033056,0.8040162,0.20137401,0.95483565,0.95641947,0.9548385,0.045134887,0.95491,0.6292835,0.04624465,0.71042776,0.9548547,0.8758552,0.6015592,0.05231992,0.954834,0.11938275,0.23659728,0.9775465,0.99959534,0.8705361,0.364334,0.15465885,0.95479023,0.91282856,0.9980272,0.95485425,0.09197645,0.95380896,0.04516454,0.9548192,0.89686716,0.88828677,0.8769924,0.4850314,0.22493833,0.1081195,0.77301335,0.045162074,0.9439547,0.95144236,0.95487046,0.0031239558,0.05120942,0.90681267,0.04519353,0.5034597,0.9477124,0.95481426,0.9548483,0.95480436,0.1144737,0.045178823,0.95482284,0.085008085,0.95487624,0.9890544,0.045428142,0.89385307,0.08739498,0.95483583,0.25363308,0.95483375,0.9973257,0.9967803,0.061105784,0.046220176,0.99726576,0.8314047,0.25717944,0.26892745,6
0.7527958,0.8324829,0.8191817,0.0034390064,0.83618844,0.83643484,0.3830834,0.7867239,0.8362185,0.20573677,0.25926083,0.37305638,0.7160269,0.006824228,0.5452069,0.029627137,0.751651,0.74444985,0.768438,0.6383935,0.81163454,0.8361145,0.20826034,0.16895343,0.83645606,0.88551056,0.06609851,0.81260484,0.7142321,0.82352126,0.7041324,0.17637302,0.8362415,0.84161276,0.8362505,0.16370079,0.8363415,0.5511434,0.16458869,0.62220085,0.83627516,0.7670747,0.5268982,0.17012589,0.8362074,0.2288064,0.3314077,0.918191,0.9985302,0.7624594,0.44328943,0.2596131,0.83613235,0.7993655,0.9928002,0.8362803,0.0805482,0.8352648,0.16383108,0.8362057,0.7854684,0.77797735,0.7680769,0.42477003,0.32121363,0.21883483,0.6770316,0.16378991,0.8267632,0.83323884,0.83635247,0.011401235,0.1691857,0.7942299,0.16385676,0.56510484,0.83004296,0.8362368,0.8362843,0.83619416,0.22446775,0.16378805,0.8361989,0.19860683,0.8362604,0.9600861,0.16401343,0.78283364,0.20080191,0.8362279,0.2221437,0.83622134,0.99765474,0.98824334,0.17769477,0.16461241,0.990047,0.7281338,0.34940892,0.35970134,4
0.8674629,0.95939684,0.94407225,0.003968763,0.96368533,0.9637478,0.28910315,0.90668726,0.9637952,0.0845495,0.14655732,0.27762702,0.8251477,0.0014912067,0.6282051,0.006520614,0.866231,0.8579704,0.733195,0.7356543,0.9352144,0.9637324,0.087561704,0.04226086,0.9636712,0.8681482,0.07617367,0.93630797,0.82305753,0.9490795,0.81149364,0.20328212,0.9637606,0.96492314,0.9637158,0.036321692,0.9637066,0.6350564,0.03747743,0.717002,0.9637021,0.8839843,0.6071018,0.043513373,0.9636947,0.11119434,0.22956707,0.9819928,0.99967396,0.87858367,0.3584597,0.14687765,0.9637454,0.9213139,0.9984196,0.96369505,0.09282546,0.9627397,0.036273837,0.96375215,0.9051895,0.89653736,0.8850861,0.48952544,0.21776749,0.09988329,0.7801408,0.036304116,0.95270586,0.9602252,0.9637022,0.0025113914,0.04229129,0.91515434,0.036276203,0.49887192,0.95653343,0.9636695,0.9636982,0.96374226,0.10627158,0.03626518,0.96372753,0.07655861,0.963736,0.99121135,0.036546648,0.90211177,0.07886039,0.9637078,0.25599355,0.9637316,0.9973051,0.997407,0.05244723,0.037432946,0.9978099,0.8391237,0.2503263,0.26215494,6
0.7664822,0.8477118,0.8341429,0.003502383,0.8514971,0.8515823,0.37186715,0.8011265,0.85159063,0.19113493,0.24588592,0.36171836,0.7290872,0.0061804145,0.5550709,0.026855024,0.7653891,0.75806177,0.764249,0.65001786,0.8263466,0.8515285,0.19378316,0.1537653,0.8515005,0.88350236,0.06730367,0.8273253,0.727248,0.8385812,0.7170279,0.17961593,0.8515732,0.85625535,0.8515164,0.1485137,0.8515391,0.5611283,0.14951167,0.6335358,0.85151815,0.7810688,0.5364386,0.15486257,0.8514978,0.21467596,0.31925464,0.92590827,0.99865305,0.77630544,0.4331446,0.24619529,0.85152715,0.814045,0.9934832,0.8514933,0.08202134,0.8506484,0.14847662,0.8515443,0.79979897,0.79217947,0.78204125,0.43252942,0.30883554,0.20465603,0.6893161,0.14849243,0.84179795,0.8484383,0.85153407,0.010335649,0.15380985,0.8086164,0.14847773,0.5572054,0.84517884,0.85147005,0.8515093,0.8515386,0.21031934,0.14847139,0.85154134,0.18405566,0.8515388,0.9638031,0.14872195,0.79709065,0.18609715,0.8515095,0.22619273,0.85152274,0.99761784,0.9893367,0.16276646,0.14946191,0.99096686,0.7414349,0.3375924,0.34804916,4
0.81669563,0.90323234,0.88879883,0.0037344554,0.9072645,0.90736735,0.33071002,0.85360444,0.9073601,0.13815922,0.19647823,0.3198944,0.776847,0.0038492,0.59144676,0.016745813,0.815523,0.80773413,0.74880457,0.6925973,0.88049024,0.9072922,0.14097854,0.09833138,0.90730333,0.875857,0.07171584,0.88152456,0.774886,0.8935151,0.763988,0.19138,0.9073396,0.91030043,0.9072985,0.09272394,0.90731585,0.5978948,0.093783304,0.67503375,0.90729815,0.8322366,0.5715821,0.099522516,0.907274,0.16323711,0.27465683,0.95377964,0.9991617,0.8271662,0.3960109,0.19680388,0.9073006,0.86735874,0.99593574,0.9072863,0.087392315,0.9063579,0.092708915,0.9073234,0.85219944,0.8440636,0.83328146,0.4608665,0.26355726,0.15255366,0.73448265,0.09272278,0.8969485,0.9040151,0.9073173,0.0064455513,0.09839655,0.86160076,0.092710435,0.5281984,0.9005487,0.9072592,0.9072921,0.90731466,0.15858907,0.09268978,0.9073065,0.1305976,0.90731937,0.9774327,0.09295569,0.8493086,0.13279884,0.9072891,0.24100876,0.9073037,0.99746203,0.99335206,0.10790643,0.09374598,0.99437106,0.7900022,0.29419613,0.30534056,5
