feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,cluster
0.38312024,0.6214258,0.39198655,0.6041751,0.62425405,0.6006039,0.3985727,0.6080754,0.3638246,0.3790055,0.6240337,0.6232066,0.5903098,0.575475,0.37701717,0.38573325,0.37972465,0.3880584,0.60019684,0.61434495,0.6157316,0.6817758,0.39221254,0.22477783,0.36960062,0.75562745,0.3809491,0.6105424,0.68593407,0.3807996,0.5945498,0.5910491,0.6257405,0.65127033,0.6052491,0.3675904,0.40044588,0.40402597,0.35823596,0.5799771,0.3622029,0.3379626,0.39093414,0.60523516,0.62503874,0.6248679,0.34802935,0.6463897,0.38543978,0.6180216,0.620728,0.3571296,0.40480986,0.37395287,0.65118927,0.62002665,0.59308654,0.37731925,0.6667572,0.36636552,0.38918117,0.30562755,0.6052958,0.66495776,0.39409536,0.68900055,0.38675508,0.6053923,0.6295763,0.3815785,0.37407863,0.38971326,0.57783026,0.628116,0.24162045,0.42019427,0.62470365,0.60515225,0.63040996,0.576542,0.6027687,0.39919034,0.5987857,0.61035514,0.6043881,0.65015143,0.34587187,0.5988158,0.38374776,0.39171144,0
0.5879998,0.41898274,0.6011313,0.39228904,0.4233322,0.38683236,0.61182046,0.398632,0.55850005,0.5822361,0.4230368,0.4217254,0.37109333,0.34843272,0.5788143,0.5924187,0.58288014,0.5956421,0.38623303,0.4081697,0.41024774,0.5115941,0.6019833,0.3450144,0.56744254,0.6250159,0.5846852,0.4020662,0.51815605,0.58406496,0.3776613,0.3721336,0.42536914,0.46585372,0.3938806,0.5643149,0.6145323,0.62023616,0.5499694,0.35551664,0.5558371,0.51865244,0.599679,0.3940459,0.42464182,0.42442048,0.53387225,0.45720828,0.59199154,0.41410723,0.4181577,0.5482493,0.6213612,0.5740366,0.46442944,0.41646194,0.37561464,0.57970726,0.48882115,0.5623348,0.59754777,0.46876797,0.39393583,0.48575282,0.6047391,0.5225764,0.5934471,0.39466378,0.4318875,0.5855653,0.57456803,0.59811985,0.35185084,0.4290952,0.37100995,0.6452409,0.4245062,0.39380774,0.4322238,0.3492752,0.39011693,0.6128004,0.3848725,0.40217915,0.3929342,0.4627948,0.5314168,0.38392562,0.58921057,0.60108614,2
0.66928774,0.33882606,0.68428177,0.30841598,0.3437225,0.30225888,0.6962419,0.31570667,0.6355805,0.6623335,0.34334028,0.3417927,0.2842874,0.25878197,0.6585581,0.67430705,0.6633015,0.6779191,0.3016291,0.3264964,0.3288263,0.44405985,0.6851062,0.39239833,0.6458548,0.57326025,0.66548455,0.31953436,0.4520299,0.6649587,0.29173672,0.28564283,0.34589195,0.39182064,0.31018,0.6422985,0.69921446,0.70570904,0.6258083,0.26670453,0.63266855,0.58980995,0.6824487,0.31044823,0.34512368,0.3446321,0.60782665,0.38243568,0.67365766,0.33319896,0.33779058,0.62368023,0.70705384,0.65325826,0.390872,0.3359145,0.2894928,0.6597179,0.4183259,0.64007133,0.67996055,0.5332653,0.31039298,0.41460913,0.68825734,0.45703825,0.6753705,0.31108865,0.35315692,0.66633654,0.65407,0.6807151,0.26249737,0.35043705,0.4221912,0.733898,0.34528524,0.31020865,0.3541523,0.25933608,0.30591527,0.6973197,0.3002699,0.31972075,0.30923122,0.38844717,0.6045042,0.29903167,0.6705324,0.6839611,-1
0.8160077,0.19394273,0.83405954,0.15675865,0.19990022,0.14920305,0.8488399,0.16588604,0.774947,0.80764055,0.19944295,0.19755855,0.1274085,0.096534714,0.8029544,0.82229125,0.80869204,0.82652974,0.14856176,0.17894231,0.18171892,0.32219845,0.8352685,0.47832525,0.7874918,0.4797929,0.81137395,0.17030396,0.33202636,0.810564,0.13650322,0.1290237,0.20242284,0.25905502,0.15890567,0.7831684,0.852377,0.8604058,0.7629555,0.10610124,0.77132064,0.71902686,0.8318312,0.15928558,0.20165798,0.20100757,0.74094987,0.24706048,0.82146704,0.18724504,0.19276264,0.76044273,0.8620119,0.79648024,0.25729716,0.19022807,0.13384509,0.80459493,0.2909877,0.780405,0.8290533,0.65005225,0.15916234,0.2862643,0.8390283,0.33801678,0.82333183,0.16022748,0.21154423,0.8123266,0.79760444,0.8298789,0.10080385,0.20803595,0.51480645,0.8948345,0.20211965,0.1589644,0.21241853,0.09676102,0.15369675,0.85015905,0.14734983,0.17079234,0.1579346,0.2542479,0.737262,0.1452623,0.8176005,0.83378375,-1
0.74137527,0.2677914,0.7574239,0.23377782,0.2731941,0.22699024,0.7712877,0.24226892,0.7041185,0.73409235,0.27265596,0.27097106,0.20714878,0.17925079,0.72946835,0.74718964,0.734642,0.75106347,0.22650036,0.2541039,0.25664344,0.38418964,0.75874776,0.4347789,0.71546334,0.5272507,0.7370455,0.2461375,0.39335507,0.73617065,0.21562839,0.20870157,0.2752637,0.32719928,0.23575866,0.7116052,0.77440834,0.78179014,0.69325775,0.18795475,0.70065147,0.65295696,0.7556599,0.23616435,0.2746982,0.27413344,0.67325693,0.31594372,0.74633974,0.26162663,0.2666487,0.6908162,0.783109,0.72369385,0.32527426,0.26420718,0.21312073,0.73118114,0.35590422,0.7090843,0.75324684,0.59027153,0.2359516,0.35138422,0.7622707,0.39850575,0.74804735,0.23706506,0.2837956,0.7380639,0.7248883,0.75394946,0.18292543,0.2804373,0.46789724,0.8131049,0.27502322,0.23581989,0.28417465,0.17864862,0.23107615,0.77246356,0.22541948,0.24662426,0.23500893,0.32232544,0.6700873,0.22351882,0.7429629,0.7575315,7
0.28908855,0.71448064,0.29575497,0.7011492,0.71639985,0.69889957,0.3006894,0.70420885,0.27453935,0.286356,0.71625376,0.715562,0.69078606,0.67925906,0.28442368,0.29145303,0.28663754,0.2929752,0.6982337,0.70903814,0.7100065,0.7596777,0.2961053,0.16924316,0.2790368,0.8154875,0.2875323,0.7060905,0.7636781,0.28756607,0.69387436,0.6915023,0.71763515,0.73701215,0.7018431,0.2775603,0.30192816,0.30478233,0.27044377,0.6833277,0.2735348,0.2543679,0.29483932,0.70217836,0.71709424,0.71666276,0.26312864,0.73338866,0.29131472,0.71205175,0.7139407,0.2688271,0.30555636,0.28209525,0.73744524,0.71304315,0.69311476,0.28512594,0.7486873,0.27643028,0.29370528,0.22995958,0.70206845,0.7469987,0.2974099,0.7659185,0.29179788,0.7024431,0.7203669,0.28764147,0.2829883,0.2941929,0.68137026,0.7194301,0.18228301,0.31678236,0.7172668,0.7019996,0.7213329,0.67973435,0.70023364,0.30117488,0.6977596,0.70604956,0.7015959,0.7360926,0.26065004,0.69711304,0.28979164,0.2955435,0
0.68602943,0.32228023,0.7012739,0.2910979,0.32733896,0.2847067,0.71366304,0.2986958,0.6515055,0.6789366,0.3269434,0.32536846,0.26639503,0.24041478,0.67507374,0.69122,0.67988735,0.6948483,0.28416908,0.30968377,0.31206155,0.43019164,0.70221233,0.4022301,0.6620372,0.5626662,0.68211997,0.30246907,0.4382815,0.6814623,0.27405334,0.26772535,0.3294682,0.3769219,0.29292294,0.6583773,0.7166805,0.72338545,0.64144415,0.24839747,0.6484393,0.6046333,0.6994239,0.29318658,0.32878417,0.32830983,0.62286747,0.36695698,0.69051933,0.3166048,0.32129398,0.6394139,0.7247162,0.66963583,0.37548923,0.3192645,0.27175102,0.6763207,0.4038394,0.6560961,0.69700813,0.54666126,0.2931046,0.39998713,0.7054155,0.4433508,0.69221586,0.29391882,0.33710757,0.6830257,0.6704165,0.6976972,0.24403253,0.3341628,0.43280172,0.752359,0.3290489,0.2929344,0.33783516,0.24078402,0.28851455,0.71477705,0.28295946,0.302794,0.29200107,0.37305826,0.61982936,0.28144783,0.68731785,0.70102334,5
0.71682274,0.29188436,0.7328371,0.25929263,0.29712722,0.252685,0.74566865,0.26716667,0.680722,0.70937014,0.29671293,0.29505983,0.23347081,0.20621891,0.7053249,0.72223276,0.71040034,0.7260595,0.25205314,0.27869502,0.28116804,0.40458128,0.7337552,0.42021987,0.69173616,0.54298705,0.7127524,0.2711993,0.41314355,0.71216184,0.24144533,0.23491491,0.2994209,0.34874165,0.26118618,0.6879276,0.7488295,0.75581396,0.67022854,0.21466798,0.6775999,0.6316673,0.7308617,0.26148343,0.29864097,0.29807702,0.65096927,0.33858222,0.7215216,0.28590292,0.29079375,0.66797054,0.7572537,0.6996495,0.34761,0.2887346,0.23906383,0.706625,0.37705573,0.6855352,0.7282475,0.5711366,0.2614168,0.37302572,0.7371082,0.41849643,0.7233088,0.26219508,0.30724838,0.7136354,0.70055246,0.729038,0.21012384,0.30431342,0.45218468,0.786005,0.2989003,0.2612197,0.30826622,0.2067203,0.2566128,0.7468263,0.2507103,0.27146873,0.26021868,0.34498185,0.6474646,0.24922895,0.71816164,0.7325002,6
0.84340096,0.16686794,0.86204076,0.12844281,0.17304015,0.12064528,0.87735355,0.13788486,0.8009571,0.8347693,0.17256734,0.17060786,0.09810087,0.06617987,0.82990694,0.8499171,0.8358488,0.8542798,0.1199681,0.15137537,0.15425521,0.2994465,0.8633065,0.49439815,0.813946,0.4623418,0.83861,0.14243759,0.30963397,0.8377667,0.10750251,0.099773474,0.17562413,0.23419794,0.13064456,0.8094641,0.8809897,0.8892962,0.7886009,0.076109335,0.79719895,0.74313277,0.8597486,0.1310629,0.17485389,0.17417826,0.76579225,0.22179013,0.8490579,0.1599606,0.1656815,0.7859651,0.8909548,0.8232182,0.23237416,0.1630206,0.104778156,0.8316261,0.26719686,0.806608,0.8569027,0.6718391,0.13092194,0.26230642,0.86719894,0.31580734,0.8509628,0.13205224,0.18507595,0.83959544,0.8244103,0.8577499,0.070611484,0.18145633,0.5320889,0.92487305,0.17536579,0.13072409,0.18596396,0.066360146,0.12526706,0.87871766,0.11875732,0.14295208,0.1296701,0.22918577,0.76202095,0.11656611,0.84505725,0.8617689,10
0.79413265,0.21559146,0.81169844,0.1793901,0.2213828,0.17200518,0.8260368,0.1883013,0.7541775,0.78590417,0.22091551,0.21909964,0.15084583,0.120902225,0.781405,0.8002084,0.78697467,0.8043526,0.171446,0.20098291,0.20367214,0.34037995,0.81285095,0.46546006,0.76634896,0.49375153,0.7896139,0.19257541,0.34992993,0.788831,0.1597051,0.15242714,0.22381563,0.27891773,0.18151826,0.76215994,0.82949716,0.83730245,0.74242043,0.13008034,0.7506447,0.6997495,0.80950534,0.18183902,0.22307494,0.22242485,0.72110355,0.26726162,0.7993868,0.20904756,0.21439534,0.74005586,0.83885574,0.7751224,0.27722758,0.21198761,0.15707798,0.78297913,0.31001136,0.7594831,0.8067745,0.6326639,0.1817483,0.30540144,0.8165084,0.35577077,0.80125153,0.18273436,0.2326851,0.79054606,0.77616435,0.8075906,0.12495226,0.22928475,0.50099885,0.87080824,0.22350873,0.18154533,0.23356692,0.12110676,0.1764215,0.827314,0.17024381,0.1930657,0.1805351,0.27425054,0.71747565,0.1682228,0.79564416,0.8114067,8
